Location,Hospital_Name,State,District,Pincode,Latitude,Longitude,Specialisation,n_beds
Near Dollygunj Junction,Chakraborty Multi Speciality Hospital,Andaman and Nicobar Islands,South Andaman,744101,11.6357989,92.7120575,Obstetrician,20
Medical Board Office,Inhs Dhanvantri,Andaman and Nicobar Islands,South Andaman,744101,11.8311681,92.6586401,"Nephrologist, Dialysis center",17
Near Masjid,Maricar Hospital,Andaman and Nicobar Islands,South Andaman,744103,11.8311681,92.6586401,Paediatrician,30
"Lamba Line, P.B. No. 526",Pillar Health Centre,Andaman and Nicobar Islands,South Andaman,744103,11.6498468,92.7294624,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",101
"GB Pant Road, City Centre, Port Blair","G B Pant Hospital, Port Blair",Andaman and Nicobar Islands,South Andaman,744103,11.6233774,92.7264828,Gynaecologist & Obstetrician,20
"Road No.1, Banjara Hills","Care Hospital, Banjara",Andhra Pradesh,Hyderabad,500034,17.4274003,78.4311174,Ophthalmologist,7
"7/201, Court Road Anantapur 515001  Anantapur",Aasha Hospitals,Andhra Pradesh,Anantapur,515001,14.6795736,77.592469,Cardiologist,11
"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Sainagar,Anantapur",Baby Hospital,Andhra Pradesh,Anantapur,515001,14.6818877,77.6005911,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Paediatricians, Ophthalmologists",33
"12-3-234, 6Th Cross Sai Nagar Anantapur 515001  Anantapur",Dr Akbar Eye Hospital And Laser Centre,Andhra Pradesh,Anantapur,515001,14.6723351,77.6018211,Gynaecologist & Obstetrician,26
"Sai Nagar Iind Cross,Anantapur",Hrudaya Children Hospital,Andhra Pradesh,Anantapur,515001,14.6749908,77.6032432,"General Physician, Gastroenterologist, Oncologist, Endoscopist",43
"15-381, Kamala Nagar,.","Jeevana Jyothi Hospitals Ltd.,",Andhra Pradesh,Anantapur,515001,17.4738037,78.5641765,"Gynaecologist & Obstetrician, Urologist",19
Railway Station Road,Meda Nursing Home,Andhra Pradesh,Anantapur,515001,14.6818877,77.6005911,General Physician,6
"12/3-269, Sai Nagar, 6Th Cross, Anantapur",Mnr Nursing Home,Andhra Pradesh,Anantapur,515001,14.6723351,77.6018211,"Gynaecologist & Obstetrician, ENT",24
D No: 15/721 Kamala Nagar Anantapur 515001  Anantapur,Mythri Hospitals,Andhra Pradesh,Anantapur,515001,14.6867872,77.5832307,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Paediatrician, Ophthalmologist, Cardiologist, Oncologist
",41
